Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,Final Energy|Transportation|Fossils|Road,EJ/yr,60.66224808,61.96629651,63.24347929,64.66978892,66.0615635,67.418925,68.4183248,69.38647657,70.32435826,71.23212392,71.88043928,72.45621264,74.00957517,74.61657649,75.20360652,75.71191145,75.85967066,75.99400523,76.11491518,76.22240051,76.3164612,76.51893018,76.7058054,76.87708686,72.64649402,72.67975802,70.09420349,66.89692465,64.00877727,61.03043609,57.56951151,53.93356655,50.66295647,47.42396233,44.11107127,40.75992821,31.22064852,28.02471725,27.20306871,26.87283493,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533,23.58160533
GLUCOSE,1.75DS,World,Final Energy|Transportation|Liquids|Biomass|Road,EJ/yr,1.52101992,1.571547844,1.621406963,1.50324032,1.391697955,1.286663879,1.178694119,1.079203789,0.987262937,0.902725051,1.043671505,1.052706093,0.113821453,0.056564115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUCOSE,1.75DS,World,Land Cover|Cropland,million ha,1845.644466,1868.82003,1892.589838,1915.765401,1939.53521,1966.514821,1995.898792,2024.941313,2054.325283,2083.367805,2113.34602,2063.370103,2014.252689,1967.889853,1921.310725,1876.414332,1832.772632,1789.814041,1747.700648,1705.832494,1665.857903,1625.279023,1585.739756,1546.80168,1508.096079,1469.232547,1431.09986,1393.254001,1355.409622,1317.163385,1279.884133,1241.543238,1203.500323,1164.813953,1141.275338,1126.052091,1111.559367,1097.486683,1083.761301,1070.096679,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753
GLUCOSE,1.75DS,World,Land Cover|Cropland|Irrigated,million ha,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,367.8,386.19,405.4995,425.774475,447.0631988,469.4163587,492.8871766,517.5315355,543.4081122,570.5785178,599.1074437,629.0628159,660.5159567,693.5417545,728.2188423,764.6297844,802.8612736,843.0043373,885.1545542,929.4122819,975.882896,1024.677041,1075.910893,1129.706437,1141.275338,1126.052091,1111.559367,1097.486683,1083.761301,1070.096679,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753,1057.087753
GLUCOSE,1.75DS,World,Land Cover|Forest,million ha,4000,4000,4000,3993.234599,3969.46479,3920.378952,3852.329707,3791.066123,3723.016879,3661.753295,3593.109805,3711.542273,3826.907964,3931.278611,4040.094255,4145.312194,4241.58914,4341.382712,4438.659469,4534.092049,4620.577043,4711.801987,4800.580483,4882.112155,4967.48521,5051.771732,5134.132066,5210.035339,5289.918386,5369.139022,5441.535154,5518.899334,5595.013749,5670.854232,5726.05933,5776.752822,5825.890901,5869.368212,5916.223714,5962.27396,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829,6006.948829
GLUCOSE,1.75DS,World,Land Cover|Natural Forest,million ha,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
GLUCOSE,1.75DS,World,Land Cover|Pasture,million ha,3200,3200,3200,3200,3200,3222.106226,3260.771501,3292.992563,3331.657838,3363.8789,3402.544175,3334.087623,3267.839347,3209.831536,3147.59502,3087.273474,3034.638228,2977.803247,2922.639883,2869.075457,2822.565054,2771.91899,2722.679761,2680.086165,2633.41871,2587.995721,2543.768073,2505.71066,2463.671992,2422.697593,2387.580714,2348.557427,2310.485928,2273.331815,2241.665332,2206.195087,2171.549731,2142.145105,2109.014985,2076.629361,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418,2044.963418
GLUCOSE,1.75DS,World,Primary Energy|Biomass,EJ/yr,36.42341982,36.54573395,36.67118434,36.72246177,36.59832916,36.20837827,35.61931158,35.10463061,34.51556393,34.00088295,33.40871296,34.66479892,35.88554745,36.99398429,38.14595732,39.26329073,40.28360744,41.34398497,42.37793596,43.38938683,44.31002431,45.27729501,46.22201426,47.08750559,47.99646771,48.89088497,49.76821351,50.57460666,51.4259237,52.26714915,53.03985357,53.86158624,54.67333264,55.4790665,56.07126506,56.6129555,57.14145038,57.60737092,58.11189873,58.60483509,59.08646625,59.08646625,59.08646625,59.08646625,59.08646626,59.08646625,59.08646626,59.08646626,59.08646625,59.08646625,59.08646626
GLUCOSE,1.75DS,World,Primary Energy|Coal,EJ/yr,139.2476,140.3512,141.4548,142.5583,142.5583,142.5583,142.5583,141.5583,140.5583,139.5583,138.5583,134.5583,130.5583,126.5583,122.5583,118.5583,114.5583,114.8003205,113.8862692,110.7750971,105.7405705,103.2297507,98.70978991,94.11236116,89.5556225,84.98784598,80.39995758,75.74285728,71.12874252,66.5071235,61.80167476,59.29399172,56.76381655,54.23023854,51.94658782,49.60646736,46.80459862,43.95054247,41.51415328,40.36921704,37.96609071,37.98966057,38.00872338,38.023936,38.023936,37.48943242,37.45545278,39.53890979,42.38087199,42.12341842,44.92623558
GLUCOSE,1.75DS,World,Primary Energy|Gas,EJ/yr,108.0354,109.717,111.3986,113.0802,114.7618,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,113.4433,110.4433,107.4433,104.4433,101.4433,98.4433,95.4433,92.4433,89.4433,86.4433,83.4433,80.4433,77.4433,74.4433,71.4433,68.4433,65.4433,62.4433,59.4433,56.4433,53.4433,50.4433,47.4433,44.4433,41.4433,38.4433,35.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433,32.4433
GLUCOSE,1.75DS,World,Primary Energy|Geothermal,EJ/yr,0.649389312,0.626683392,0.60170688,0.58424855,0.561391258,0.540855014,0.517997722,0.492869837,0.470012544,0.447155251,0.426619008,0.403761715,0.37863383,0.355776538,0.332919245,0.310061952,0.289525709,0.264397824,0.241540531,0.218683238,0.195825946,1.29403561,5.408721751,8.193146625,9.156542073,12.24550779,16.08820716,16.3083511,16.39887203,16.48939297,16.5799139,16.71685583,16.85379776,16.99073968,18.19473535,19.30168843,19.41077776,19.51986709,19.63127747,24.228655,25.87054196,25.87054196,25.87054196,25.87054196,25.87054196,25.87054196,25.87054196,21.81196467,19.74657339,18.84155739,17.88361099
GLUCOSE,1.75DS,World,Primary Energy|Hydro,EJ/yr,12.56120381,12.65172291,12.73454658,12.81255707,12.88429503,12.94976045,13.00625468,13.0592115,12.88008449,12.70237913,12.52325213,12.34412513,12.16499812,11.98587112,11.80674412,11.62903876,11.44991176,11.27078475,12.154926,14.10826332,16.06160063,18.01635959,19.96969691,21.92303423,23.52534638,23.80683167,24.03571617,24.26602232,24.49632847,24.72521297,24.95409747,25.15597076,25.35784405,25.55971734,25.76301227,25.96488556,26.09994163,26.23499771,26.37005378,26.50510985,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757,26.64158757
GLUCOSE,1.75DS,World,Primary Energy|Nuclear,EJ/yr,11.22852968,9.094841634,3.87948586,2.476144706,2.419730987,2.364138029,4.513145305,10.046598,14.47740826,15.91841441,23.75895422,23.13606458,22.44264647,21.88040692,21.26269903,20.63921404,20.017471,19.40494485,18.78667469,18.17014647,17.56280206,16.9748947,16.39442921,15.80652185,15.2186145,14.63814901,14.05024165,13.46233429,12.8818688,14.57471387,18.32408469,22.24610613,25.48797419,28.13888471,28.50943578,27.92152842,27.33362106,26.75315557,26.16524822,25.57734086,31.85292502,32.16966501,32.33377041,32.33377041,32.33377041,32.93087147,34.81556853,37.5842451,38.32157932,39.84242611,43.59485682
GLUCOSE,1.75DS,World,Primary Energy|Oil,EJ/yr,167.5456,168.1463,168.747,169.3477,169.9483,170.549,170.549,170.549,170.549,170.549,170.549,167.549,164.549,161.549,158.549,155.549,152.549,149.549,146.549,143.549,140.549,137.549,134.549,131.549,128.549,125.549,122.549,119.549,116.549,113.549,110.549,107.549,104.549,101.549,98.549,95.549,92.549,89.549,86.549,83.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549,80.549
